date;hour;temp;load
2004-01-20;8;13;18975
2004-01-20;9;14;19187
2004-01-20;10;16;19008
2004-01-20;11;17;19047
2004-01-20;12;19;18794
2004-01-20;13;20;18720
2004-01-20;14;21;18505
2004-01-20;15;22;18286
2004-01-20;16;22;18334
2004-01-20;17;21;19187
2004-01-20;18;19;20895
2004-01-20;19;18;21050
2004-01-20;20;17;20670
2004-01-20;21;17;19974
2004-01-20;22;17;18742
2004-01-20;23;16;17199
2004-01-20;24;15;15665
2004-01-21;1;14;14743
2004-01-21;2;14;14300
2004-01-21;3;13;14075
2004-01-21;4;13;14139
2004-01-21;5;13;14414
2004-01-21;6;12;15627
2004-01-21;7;12;17921
2004-01-21;8;12;19135
2004-01-21;9;14;19221
2004-01-21;10;15;19129
2004-01-21;11;18;19025
2004-01-21;12;20;18742
2004-01-21;13;22;18410
2004-01-21;14;24;18176
2004-01-21;15;25;17901
2004-01-21;16;25;17912
2004-01-21;17;25;18767
2004-01-21;18;23;20423
2004-01-21;19;21;20570
2004-01-21;20;19;20191
2004-01-21;21;18;19516
2004-01-21;22;17;18407
2004-01-21;23;15;16780
2004-01-21;24;14;15374
2004-01-22;1;13;14493
2004-01-22;2;14;14061
2004-01-22;3;14;13840
2004-01-22;4;16;13744
2004-01-22;5;16;14016
2004-01-22;6;17;15187
2004-01-22;7;18;17433
2004-01-22;8;19;18827
2004-01-22;9;19;18974
2004-01-22;10;21;18955
2004-01-22;11;23;19003
2004-01-22;12;25;18827
2004-01-22;13;28;18509
2004-01-22;14;30;18248
2004-01-22;15;32;17924
2004-01-22;16;33;17927
2004-01-22;17;32;18682
2004-01-22;18;31;20055
2004-01-22;19;29;20057
2004-01-22;20;27;19663
2004-01-22;21;26;19045
2004-01-22;22;24;17935
2004-01-22;23;22;16362
2004-01-22;24;20;14977
2004-01-23;1;18;14177
2004-01-23;2;16;13809
2004-01-23;3;15;13674
2004-01-23;4;14;13712
2004-01-23;5;13;14067
2004-01-23;6;12;15289
2004-01-23;7;11;17639
2004-01-23;8;10;18973
2004-01-23;9;11;19181
2004-01-23;10;13;19219
2004-01-23;11;14;19244
2004-01-23;12;15;19138
2004-01-23;13;16;18909
2004-01-23;14;17;18747
2004-01-23;15;17;18524
2004-01-23;16;17;18571
2004-01-23;17;15;19249
2004-01-23;18;13;20666
2004-01-23;19;13;20655
2004-01-23;20;11;20148
2004-01-23;21;10;19539
2004-01-23;22;9;18665
2004-01-23;23;9;17424
2004-01-23;24;8;16095
2004-01-24;1;7;15163
2004-01-24;2;6;14662
2004-01-24;3;6;14415
2004-01-24;4;5;14302
2004-01-24;5;5;14378
2004-01-24;6;5;14805
2004-01-24;7;5;15665
2004-01-24;8;5;16614
2004-01-24;9;6;17774
2004-01-24;10;8;18511
2004-01-24;11;10;18666
2004-01-24;12;12;18416
2004-01-24;13;13;17959
2004-01-24;14;15;17518
2004-01-24;15;15;17244
2004-01-24;16;15;17278
2004-01-24;17;13;18092
2004-01-24;18;11;19717
2004-01-24;19;9;19852
2004-01-24;20;8;19448
2004-01-24;21;6;18964
2004-01-24;22;6;18274
2004-01-24;23;4;17262
2004-01-24;24;3;16246
2004-01-25;1;2;15457
2004-01-25;2;1;15022
2004-01-25;3;0;14825
2004-01-25;4;-1;14745
2004-01-25;5;-1;14796
2004-01-25;6;-1;15094
2004-01-25;7;-2;15680
2004-01-25;8;-2;16352
2004-01-25;9;-2;17350
2004-01-25;10;0;18023
2004-01-25;11;3;18291
2004-01-25;12;6;18301
2004-01-25;13;9;18119
2004-01-25;14;11;17753
2004-01-25;15;13;17492
2004-01-25;16;14;17546
2004-01-25;17;14;18487
2004-01-25;18;11;20303
2004-01-25;19;10;20500
2004-01-25;20;9;20132
2004-01-25;21;8;19465
2004-01-25;22;7;18366
2004-01-25;23;6;16983
2004-01-25;24;6;15774
2004-01-26;1;5;14986
2004-01-26;2;5;14645
2004-01-26;3;5;14551
2004-01-26;4;4;14572
2004-01-26;5;4;14926
2004-01-26;6;4;16165
2004-01-26;7;4;18563
2004-01-26;8;4;19935
2004-01-26;9;3;20153
2004-01-26;10;5;20146
2004-01-26;11;8;20090
2004-01-26;12;11;19906
2004-01-26;13;13;19653
2004-01-26;14;14;19397
2004-01-26;15;16;19149
2004-01-26;16;16;19221
2004-01-26;17;16;20070
2004-01-26;18;16;21516
2004-01-26;19;16;21572
2004-01-26;20;15;21071
2004-01-26;21;15;20300
2004-01-26;22;14;19022
2004-01-26;23;14;17299
2004-01-26;24;13;15853
2004-01-27;1;13;14903
2004-01-27;2;12;14467
2004-01-27;3;11;14298
2004-01-27;4;10;14316
2004-01-27;5;10;14632
2004-01-27;6;10;15838
2004-01-27;7;10;18180
2004-01-27;8;10;19496
2004-01-27;9;11;19640
2004-01-27;10;13;19652
2004-01-27;11;15;19626
2004-01-27;12;17;19540
2004-01-27;13;18;19372
2004-01-27;14;19;19259
2004-01-27;15;20;19029
2004-01-27;16;20;19022
2004-01-27;17;20;19703
2004-01-27;18;20;21008
2004-01-27;19;20;20976
2004-01-27;20;20;20435
2004-01-27;21;20;19590
2004-01-27;22;20;18315
2004-01-27;23;20;16714
2004-01-27;24;20;15284
2004-01-28;1;19;14373
2004-01-28;2;19;13928
2004-01-28;3;20;13715
2004-01-28;4;19;13644
2004-01-28;5;19;13914
2004-01-28;6;19;14928
2004-01-28;7;19;16865
2004-01-28;8;19;18147
2004-01-28;9;20;18644
2004-01-28;10;20;18973
2004-01-28;11;20;19147
2004-01-28;12;21;19131
2004-01-28;13;22;18894
2004-01-28;14;24;18661
2004-01-28;15;25;18494
2004-01-28;16;25;18505
2004-01-28;17;25;19163
2004-01-28;18;25;20574
2004-01-28;19;25;20584
2004-01-28;20;24;20041
2004-01-28;21;24;19292
2004-01-28;22;24;18031
2004-01-28;23;24;16316
2004-01-28;24;23;14875
2004-01-29;1;22;13977
2004-01-29;2;21;13602
2004-01-29;3;21;13447
2004-01-29;4;21;13403
2004-01-29;5;21;13697
2004-01-29;6;20;14867
2004-01-29;7;20;17180
2004-01-29;8;19;18386
2004-01-29;9;20;18506
2004-01-29;10;22;18524
2004-01-29;11;23;18596
2004-01-29;12;23;18620
2004-01-29;13;23;18466
2004-01-29;14;22;18342
2004-01-29;15;22;18254
2004-01-29;16;22;18192
2004-01-29;17;21;18873
2004-01-29;18;20;20470
2004-01-29;19;19;20720
2004-01-29;20;18;20409
2004-01-29;21;18;19781
2004-01-29;22;17;18663
2004-01-29;23;16;17001
2004-01-29;24;15;15464
2004-01-30;1;15;14622
2004-01-30;2;14;14242
2004-01-30;3;14;14057
2004-01-30;4;14;14017
2004-01-30;5;13;14329
2004-01-30;6;12;15507
2004-01-30;7;12;17795
2004-01-30;8;12;19087
2004-01-30;9;12;19239
2004-01-30;10;13;19179
2004-01-30;11;16;19064
2004-01-30;12;19;18786
2004-01-30;13;20;18475
2004-01-30;14;22;18258
2004-01-30;15;23;17926
2004-01-30;16;23;17880
2004-01-30;17;21;18466
